"ISO","year","MatMor","InfMor","NeoMor","Under5Mor"
"AGO","1961",NA,NA,NA,NA
"AGO","1962",NA,NA,NA,NA
"AGO","1963",NA,NA,NA,NA
"AGO","1964",NA,NA,NA,NA
"AGO","1965",NA,NA,NA,NA
"AGO","1966",NA,NA,NA,NA
"AGO","1967",NA,NA,NA,NA
"AGO","1968",NA,NA,NA,NA
"AGO","1969",NA,NA,NA,NA
"AGO","1970",NA,NA,NA,NA
"AGO","1971",NA,NA,NA,NA
"AGO","1972",NA,NA,NA,NA
"AGO","1973",NA,NA,NA,NA
"AGO","1974",NA,NA,NA,NA
"AGO","1975",NA,NA,NA,NA
"AGO","1976",NA,NA,NA,NA
"AGO","1977",NA,NA,NA,NA
"AGO","1978",NA,NA,NA,NA
"AGO","1979",NA,NA,NA,NA
"AGO","1980",NA,140.3,NA,237.3
"AGO","1981",NA,138.6,NA,234.6
"AGO","1982",NA,137.1,NA,232.1
"AGO","1983",NA,135.8,NA,229.9
"AGO","1984",NA,134.7,NA,227.9
"AGO","1985",NA,133.6,NA,226
"AGO","1986",NA,132.7,NA,224.6
"AGO","1987",NA,132.2,NA,223.8
"AGO","1988",NA,131.9,NA,223.3
"AGO","1989",NA,131.7,53.7,222.9
"AGO","1990",NA,131.6,53.6,222.8
"AGO","1991",NA,131.6,53.6,222.6
"AGO","1992",NA,131.6,53.6,222.7
"AGO","1993",NA,131.6,53.5,222.7
"AGO","1994",NA,131.5,53.4,222.5
"AGO","1995",NA,131,53.2,221.7
"AGO","1996",NA,130.1,53,220
"AGO","1997",NA,128.7,52.6,217.4
"AGO","1998",NA,126.7,52,213.8
"AGO","1999",NA,124.3,51.2,209.6
"AGO","2000",827,121.5,50.3,204.4
"AGO","2001",766,118.2,49.2,198.4
"AGO","2002",690,114.5,48,191.5
"AGO","2003",628,110.4,46.5,183.8
"AGO","2004",574,105.7,45.1,175.1
"AGO","2005",519,100.9,43.5,166.1
"AGO","2006",473,95.7,42,156.4
"AGO","2007",431,90.6,40.5,147
"AGO","2008",395,85.5,39,137.7
"AGO","2009",359,80.6,37.7,128.7
"AGO","2010",326,75.9,36.3,120.4
"AGO","2011",300,71.5,35.1,112.5
"AGO","2012",281,67.4,33.8,105.1
"AGO","2013",269,63.7,32.7,98.5
"AGO","2014",258,60.5,31.7,92.9
"AGO","2015",251,57.7,30.8,88.1
"AGO","2016",246,55.5,30,84.1
"AGO","2017",241,53.5,29.2,80.6
"AGO","2018",NA,51.7,28.6,77.3
"AGO","2019",NA,49.9,27.9,74.2
"AGO","2020",NA,48.3,27.3,71.5
"AGO","2021",NA,NA,NA,NA
"ALB","1960",NA,NA,NA,NA
"ALB","1961",NA,NA,NA,NA
"ALB","1962",NA,NA,NA,NA
"ALB","1963",NA,NA,NA,NA
"ALB","1964",NA,NA,NA,NA
"ALB","1965",NA,NA,NA,NA
"ALB","1966",NA,NA,NA,NA
"ALB","1967",NA,NA,NA,NA
"ALB","1968",NA,NA,NA,NA
"ALB","1969",NA,NA,NA,NA
"ALB","1970",NA,NA,NA,NA
"ALB","1971",NA,NA,NA,NA
"ALB","1972",NA,NA,NA,NA
"ALB","1973",NA,NA,NA,NA
"ALB","1974",NA,NA,NA,NA
"ALB","1975",NA,NA,NA,NA
"ALB","1976",NA,NA,NA,NA
"ALB","1977",NA,NA,NA,NA
"ALB","1978",NA,77.2,NA,97.2
"ALB","1979",NA,71.7,22.9,89.3
"ALB","1980",NA,66.5,21.5,82.1
"ALB","1981",NA,61.7,20.1,75.5
"ALB","1982",NA,57.3,18.7,69.5
"ALB","1983",NA,53.4,17.3,64.2
"ALB","1984",NA,49.8,16.2,59.4
"ALB","1985",NA,46.6,15.3,55.1
"ALB","1986",NA,43.7,14.6,51.4
"ALB","1987",NA,41.2,14.1,48.2
"ALB","1988",NA,39,13.5,45.4
"ALB","1989",NA,37.1,13,43
"ALB","1990",NA,35.5,12.6,41
"ALB","1991",NA,34.1,12.4,39.3
"ALB","1992",NA,32.9,12.4,37.8
"ALB","1993",NA,31.8,12.5,36.4
"ALB","1994",NA,30.7,12.4,35.1
"ALB","1995",NA,29.7,12.4,33.9
"ALB","1996",NA,28.6,12.5,32.6
"ALB","1997",NA,27.5,12.5,31.3
"ALB","1998",NA,26.4,12.5,30
"ALB","1999",NA,25.3,12.4,28.6
"ALB","2000",23,24.1,12.1,27.2
"ALB","2001",23,22.9,11.8,25.8
"ALB","2002",21,21.7,11.4,24.4
"ALB","2003",21,20.4,11.1,23
"ALB","2004",18,19.1,10.9,21.5
"ALB","2005",22,17.8,10.6,20
"ALB","2006",18,16.6,10,18.5
"ALB","2007",19,15.3,9.2,17.1
"ALB","2008",20,14.1,8.3,15.8
"ALB","2009",20,12.9,7.4,14.5
"ALB","2010",21,11.8,6.7,13.3
"ALB","2011",22,10.8,6.2,12.1
"ALB","2012",17,10,6,11.2
"ALB","2013",16,9.3,5.9,10.4
"ALB","2014",16,8.8,5.9,9.9
"ALB","2015",15,8.5,6,9.6
"ALB","2016",16,8.4,6.3,9.4
"ALB","2017",15,8.4,6.7,9.4
"ALB","2018",NA,8.5,7.1,9.5
"ALB","2019",NA,8.6,7.5,9.7
"ALB","2020",NA,8.8,7.8,9.8
"ALB","2021",NA,NA,NA,NA
"AND","1960",NA,NA,NA,NA
"AND","1961",NA,NA,NA,NA
"AND","1962",NA,NA,NA,NA
"AND","1963",NA,NA,NA,NA
"AND","1964",NA,NA,NA,NA
"AND","1965",NA,NA,NA,NA
"AND","1966",NA,NA,NA,NA
"AND","1967",NA,NA,NA,NA
"AND","1968",NA,NA,NA,NA
"AND","1969",NA,NA,NA,NA
"AND","1970",NA,NA,NA,NA
"AND","1971",NA,NA,NA,NA
"AND","1972",NA,NA,NA,NA
"AND","1973",NA,NA,NA,NA
"AND","1974",NA,NA,NA,NA
"AND","1975",NA,NA,NA,NA
"AND","1976",NA,NA,NA,NA
"AND","1977",NA,NA,NA,NA
"AND","1978",NA,NA,NA,NA
"AND","1979",NA,NA,NA,NA
"AND","1980",NA,NA,NA,NA
"AND","1981",NA,NA,NA,NA
"AND","1982",NA,NA,NA,NA
"AND","1983",NA,NA,NA,NA
"AND","1984",NA,NA,NA,NA
"AND","1985",NA,16,NA,20.8
"AND","1986",NA,15.3,NA,19.6
"AND","1987",NA,14.4,NA,18.4
"AND","1988",NA,13.7,NA,17.2
"AND","1989",NA,12.9,7.9,16.1
"AND","1990",NA,12.3,7.4,15.1
"AND","1991",NA,11.6,6.9,14.2
"AND","1992",NA,11,6.5,13.3
"AND","1993",NA,10.5,6.1,12.4
"AND","1994",NA,9.9,5.7,11.7
"AND","1995",NA,9.4,5.3,11
"AND","1996",NA,9,4.9,10.4
"AND","1997",NA,8.5,4.6,9.7
"AND","1998",NA,8.1,4.3,9.2
"AND","1999",NA,7.7,4,8.6
"AND","2000",NA,7.3,3.8,8.2
"AND","2001",NA,6.9,3.6,7.7
"AND","2002",NA,6.5,3.3,7.3
"AND","2003",NA,6.2,3.2,6.9
"AND","2004",NA,5.9,3,6.5
"AND","2005",NA,5.6,2.9,6.1
"AND","2006",NA,5.3,2.7,5.8
"AND","2007",NA,5,2.6,5.4
"AND","2008",NA,4.7,2.5,5.1
"AND","2009",NA,4.4,2.3,4.8
"AND","2010",NA,4.1,2.2,4.5
"AND","2011",NA,3.9,2.1,4.2
"AND","2012",NA,3.7,2,4
"AND","2013",NA,3.5,1.9,3.8
"AND","2014",NA,3.3,1.8,3.5
"AND","2015",NA,3.1,1.7,3.3
"AND","2016",NA,2.9,1.6,3.2
"AND","2017",NA,2.8,1.5,3
"AND","2018",NA,2.6,1.4,2.8
"AND","2019",NA,2.5,1.4,2.7
"AND","2020",NA,2.4,1.3,2.5
"AND","2021",NA,NA,NA,NA
NA,"1960",NA,NA,NA,NA
NA,"1961",NA,NA,NA,NA
NA,"1962",NA,NA,NA,NA
NA,"1963",NA,NA,NA,NA
NA,"1964",NA,NA,NA,NA
NA,"1965",NA,NA,NA,NA
NA,"1966",NA,NA,NA,NA
NA,"1967",NA,NA,NA,NA
NA,"1968",NA,NA,NA,NA
NA,"1969",NA,NA,NA,NA
NA,"1970",NA,NA,NA,NA
NA,"1971",NA,NA,NA,NA
NA,"1972",NA,NA,NA,NA
NA,"1973",NA,NA,NA,NA
NA,"1974",NA,NA,NA,NA
NA,"1975",NA,NA,NA,NA
NA,"1976",NA,NA,NA,NA
NA,"1977",NA,NA,NA,NA
NA,"1978",NA,NA,NA,NA
NA,"1979",NA,NA,NA,NA
NA,"1980",NA,NA,NA,NA
NA,"1981",NA,NA,NA,NA
NA,"1982",NA,NA,NA,NA
NA,"1983",NA,NA,NA,NA
NA,"1984",NA,NA,NA,NA
NA,"1985",NA,NA,NA,NA
NA,"1986",NA,NA,NA,NA
NA,"1987",NA,NA,NA,NA
NA,"1988",NA,NA,NA,NA
NA,"1989",NA,NA,NA,NA
NA,"1990",NA,58.20499723,31.41829592,80.91649639
NA,"1991",NA,56.58594349,30.69708367,78.468172
NA,"1992",NA,55.03561719,30.01608994,76.21161211
NA,"1993",NA,53.609257,29.33806757,74.09545502
NA,"1994",NA,52.16646803,28.68870381,72.05245807
NA,"1995",NA,50.77331719,28.09089128,70.02823553
NA,"1996",NA,49.40001109,27.52035483,68.09332663
NA,"1997",NA,48.05686419,26.97330003,66.17357518
NA,"1998",NA,46.70429793,26.46943623,64.27460615
NA,"1999",NA,45.39942641,25.95952225,62.41282999
NA,"2000",250,44.09256936,25.43366271,60.55947269
NA,"2001",243,42.80036294,24.93281577,58.68500273
NA,"2002",235,41.50108659,24.44103019,56.84083698
NA,"2003",235,40.27458816,23.9299708,55.05752876
NA,"2004",226,39.03268064,23.37480051,53.26149867
NA,"2005",214,37.82395227,22.8193077,51.51764004
NA,"2006",211,36.61907387,22.23770667,49.7665975
NA,"2007",201,35.39824616,21.65908974,47.994989
NA,"2008",188,34.18125018,21.01697136,46.19507879
NA,"2009",180,33.03302876,20.42271206,44.47126503
NA,"2010",174,31.98699405,19.81082997,42.96973593
NA,"2011",167,31.1429479,19.32042084,41.75459068
NA,"2012",163,30.64680617,18.88427645,41.36755449
NA,"2013",157,30.00549986,18.45402447,40.60593811
NA,"2014",156,29.35539374,18.00301048,39.65857468
NA,"2015",153,28.69596462,17.61914483,38.62730663
NA,"2016",152,28.08376594,17.33249392,37.68171538
NA,"2017",149,27.29272157,17.11626306,36.23137417
NA,"2018",NA,26.82549778,16.87736007,35.61514683
NA,"2019",NA,26.33280639,16.65764201,34.88575942
NA,"2020",NA,25.77999875,16.40627526,34.08639899
NA,"2021",NA,NA,NA,NA
"ARE","1960",NA,133.2,NA,198
"ARE","1961",NA,126.9,NA,188
"ARE","1962",NA,120.7,NA,178.2
"ARE","1963",NA,114.7,NA,168.2
"ARE","1964",NA,108.4,NA,158
"ARE","1965",NA,102.1,NA,147.7
"ARE","1966",NA,95.6,NA,137.3
"ARE","1967",NA,89.1,NA,127.1
"ARE","1968",NA,82.6,NA,116.8
"ARE","1969",NA,76.4,NA,106.9
"ARE","1970",NA,70.3,NA,97.4
"ARE","1971",NA,64.6,NA,88.4
"ARE","1972",NA,59.3,NA,80.1
"ARE","1973",NA,54.5,NA,72.6
"ARE","1974",NA,50.1,NA,65.7
"ARE","1975",NA,45.9,NA,59.4
"ARE","1976",NA,42,NA,53.6
"ARE","1977",NA,38.3,NA,48.3
"ARE","1978",NA,34.9,18.2,43.5
"ARE","1979",NA,31.9,17.1,39.2
"ARE","1980",NA,29,15.9,35.3
"ARE","1981",NA,26.5,14.5,32
"ARE","1982",NA,24.3,13.3,29.1
"ARE","1983",NA,22.4,12.2,26.7
"ARE","1984",NA,20.8,11.4,24.6
"ARE","1985",NA,19.3,10.6,22.7
"ARE","1986",NA,18,10,21.2
"ARE","1987",NA,16.9,9.5,19.8
"ARE","1988",NA,15.9,9,18.6
"ARE","1989",NA,15,8.6,17.5
"ARE","1990",NA,14.2,8.2,16.5
"ARE","1991",NA,13.5,7.9,15.7
"ARE","1992",NA,12.8,7.6,14.9
"ARE","1993",NA,12.2,7.3,14.2
"ARE","1994",NA,11.7,7.1,13.6
"ARE","1995",NA,11.3,6.8,13.1
"ARE","1996",NA,10.9,6.6,12.6
"ARE","1997",NA,10.5,6.4,12.2
"ARE","1998",NA,10.2,6.2,11.8
"ARE","1999",NA,9.9,6,11.5
"ARE","2000",6,9.6,5.9,11.1
"ARE","2001",6,9.3,5.7,10.9
"ARE","2002",5,9.1,5.6,10.6
"ARE","2003",5,8.9,5.5,10.3
"ARE","2004",5,8.6,5.3,10.1
"ARE","2005",5,8.4,5.2,9.8
"ARE","2006",4,8.2,5.1,9.6
"ARE","2007",4,8.1,5,9.4
"ARE","2008",4,7.9,4.9,9.2
"ARE","2009",4,7.6,4.8,8.9
"ARE","2010",4,7.4,4.6,8.7
"ARE","2011",4,7.2,4.5,8.4
"ARE","2012",4,7,4.4,8.2
"ARE","2013",3,6.8,4.3,8
"ARE","2014",3,6.7,4.2,7.8
"ARE","2015",3,6.5,4.1,7.6
"ARE","2016",3,6.3,4,7.4
"ARE","2017",3,6.2,3.9,7.2
"ARE","2018",NA,6,3.8,7
"ARE","2019",NA,5.8,3.7,6.8
"ARE","2020",NA,5.6,3.6,6.6
"ARE","2021",NA,NA,NA,NA
"ARG","1960",NA,NA,NA,NA
"ARG","1961",NA,NA,NA,NA
"ARG","1962",NA,NA,NA,NA
"ARG","1963",NA,NA,NA,NA
"ARG","1964",NA,NA,NA,NA
"ARG","1965",NA,NA,NA,NA
"ARG","1966",NA,NA,NA,NA
"ARG","1967",NA,NA,NA,NA
"ARG","1968",NA,NA,NA,NA
"ARG","1969",NA,59.5,NA,72.5
"ARG","1970",NA,58.9,24.9,71.7
"ARG","1971",NA,58.3,24.7,70.8
"ARG","1972",NA,57.5,24.6,69.7
"ARG","1973",NA,56.4,24.6,68.2
"ARG","1974",NA,54.8,24.5,66.1
"ARG","1975",NA,52.8,24.1,63.3
"ARG","1976",NA,50.1,23.3,59.8
"ARG","1977",NA,47,22.3,55.7
"ARG","1978",NA,43.6,21.4,51.2
"ARG","1979",NA,40.1,20.4,46.8
"ARG","1980",NA,36.9,19.2,42.8
"ARG","1981",NA,34.2,17.6,39.4
"ARG","1982",NA,31.9,16.2,36.6
"ARG","1983",NA,29.9,15.5,34.2
"ARG","1984",NA,28.2,16.1,32.1
"ARG","1985",NA,26.9,16.9,30.6
"ARG","1986",NA,26.1,17.1,29.6
"ARG","1987",NA,25.7,16.8,29.1
"ARG","1988",NA,25.6,16.2,28.9
"ARG","1989",NA,25.5,15.6,28.8
"ARG","1990",NA,25.3,15,28.6
"ARG","1991",NA,24.9,14.7,28.1
"ARG","1992",NA,24.2,14.6,27.3
"ARG","1993",NA,23.3,14.5,26.3
"ARG","1994",NA,22.4,14.2,25.2
"ARG","1995",NA,21.5,13.6,24.1
"ARG","1996",NA,20.5,12.6,23.1
"ARG","1997",NA,19.7,11.5,22.1
"ARG","1998",NA,18.9,10.9,21.2
"ARG","1999",NA,18.2,10.9,20.4
"ARG","2000",66,17.5,11,19.6
"ARG","2001",67,16.9,11,18.9
"ARG","2002",65,16.4,10.8,18.3
"ARG","2003",65,15.8,10.3,17.7
"ARG","2004",61,15.3,9.7,17.1
"ARG","2005",59,14.8,9.1,16.5
"ARG","2006",57,14.4,8.7,16.1
"ARG","2007",56,14,8.4,15.7
"ARG","2008",53,13.7,8.1,15.3
"ARG","2009",56,13.3,7.8,14.9
"ARG","2010",51,12.9,7.6,14.5
"ARG","2011",48,12.4,7.5,13.9
"ARG","2012",47,11.9,7.6,13.3
"ARG","2013",44,11.3,7.4,12.7
"ARG","2014",42,10.8,6.9,12.1
"ARG","2015",41,10.2,6.5,11.5
"ARG","2016",40,9.7,6.4,10.9
"ARG","2017",39,9.2,6.3,10.3
"ARG","2018",NA,8.6,6,9.7
"ARG","2019",NA,8.1,5.3,9.1
"ARG","2020",NA,7.6,4.6,8.6
"ARG","2021",NA,NA,NA,NA
"ARM","1960",NA,NA,NA,NA
"ARM","1961",NA,NA,NA,NA
"ARM","1962",NA,NA,NA,NA
"ARM","1963",NA,NA,NA,NA
"ARM","1964",NA,NA,NA,NA
"ARM","1965",NA,NA,NA,NA
"ARM","1966",NA,NA,NA,NA
"ARM","1967",NA,NA,NA,NA
"ARM","1968",NA,NA,NA,NA
"ARM","1969",NA,NA,NA,NA
"ARM","1970",NA,NA,NA,NA
"ARM","1971",NA,NA,NA,NA
"ARM","1972",NA,NA,NA,NA
"ARM","1973",NA,NA,NA,NA
"ARM","1974",NA,NA,NA,NA
"ARM","1975",NA,NA,NA,NA
"ARM","1976",NA,70.1,NA,87.1
"ARM","1977",NA,67.6,27.8,83.6
